id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;n_photos;City MPG;Drivetrain;Engine;Exterior Color;Fuel Type;Highway MPG;Interior Color;Mileage;Stock;Transmission;VIN
244-761069807;$24,645;$24,645;;;2.7;77;4.9;55 reviews;3;31;FWD;1.5L I4 16V GDI DOHC Turbo;Crystal Black Pearl;Gasoline;40;;10;00390611;Automatic CVT;SHHFK7H63KU406881
402-763201995;$35,302;;;Good Deal;4.7;1044;4.3;22 reviews;32;24;AWD;2.0L I4 16V GDI DOHC Turbo;Majestic White;Gasoline;33;Graphite;5,098;3376U;7-Speed Automatic with Auto-Shift;SJKCH5CR0JA004135
303-760249278;$63,165;;;;4.9;740;5;1 reviews;6;19;AWD;6 Cylinder;;Gasoline;27;;0;19363;9-Speed Shiftable Automatic;55SWF6EB6KU285098
464-764871586;$57,855;$57,855;;;4.8;46;4.7;3 reviews;;;AWD;2.0L I4 16V GDI DOHC Turbo Hybrid;Gray;Hybrid;;Black;Not provided;KF600273;7-Speed Automatic;WDC0G5EB2KF600273
309-759772495;$28,997;;;Good Deal;4.8;660;4.8;23 reviews;32;17;AWD;Intercooled Turbo Premium Unleaded H-4 2.5 L/150;Galaxy Blue Silica;Gasoline;23;Carbon Black;31,698;CR7185A;6-Speed Manual w/OD;JF1VA2S66F9816513
80-763690160;$43,336;;;;4.5;80;4.5;14 reviews;32;19;AWD;3.5L V6 24V PDI DOHC;Midnight Black Metallic;Gasoline;27;Ash;0;KS222720;8-Speed Automatic;5TDDZ3DC6KS222720
10-765898406;$43,340;;;;4.9;740;5;6 reviews;4;23;AWD;4 Cylinder;Denim Blu Met;Gasoline;31;Sahara Beige;0;195587;Dual Shift Gearbox;WDCTG4GB2KJ610920
258-753004813;$38,174;$41,635;;;3;10;4.5;27 reviews;32;15;RWD;5.0L V8 32V PDI DOHC;Magnetic Metallic;Gasoline;24;Ebony Cloth;5;9008;6-Speed Manual;1FA6P8CF3K5124098
120-758761274;$58,460;$58,960;;;4.9;869;4.8;6 reviews;11;;quattro;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Samurai Gray Metallic;Gasoline;;Nougat Brown;10;PA219152;8-Speed Automatic w/OD;WA1AHAF76KD017799
422-761838668;$69,425;;;;4.6;48;;;3;21;AWD;2.0L I4 16V GDI DOHC;Onyx Black;Gasoline;31;Charcoal;2;19V888;8-Speed Automatic;LVYA22ML8KP099622
121-759815865;$32,980;$32,980;;;4.5;2105;;;23;;RWD;4.0 L;Glacier White;Gasoline;;Gray;8;390465;Automatic;1N6BF0KY5KN803237
289-766819818;$13,977;;;Good Deal;4.6;962;4.8;342 reviews;19;28;FWD;Turbocharged Gas I4 1.4L/;Summit White;Gasoline;39;Dark Atmosphere/Medium Atmosphere;19,410;P1650;6-Speed Automatic;1G1BE5SM6H7124020
444-764666645;$48,998;;;Good Deal;4;39;3.8;18 reviews;31;15;4WD;6.2L V8 16V GDI OHV;Dark Granite Metallic;Gasoline;21;Jet Black;32,102;1552U;8-Speed Automatic;1GYS4BKJ8GR310797
44-766272907;$26,795;$26,795;;;4.9;3601;4.4;69 reviews;25;25;AWD;2.4L I4 16V GDI DOHC;Platinum White Pearl;Gasoline;31;Ivory;10;KH191018;Automatic CVT;2HKRW6H35KH213040
314-764164983;$16,490;;$16990;Good Deal;4.9;2419;4.7;261 reviews;30;26;FWD;2.4L I4 16V GDI DOHC;White;Gasoline;35;Parchment;19,621;S7713P;Automatic CVT;1HGCT1B81FA013258
407-757816245;$117,695;$117,695;;;4.9;2487;5;2 reviews;23;15;AWD;Twin Turbo Premium Unleaded V-8 4.4 L/268;Donington Gray Metallic;Gasoline;21;Aragon Brown;6;WM19170;8-Speed Automatic w/OD;WBSJF0C53KB285593
294-767112104;$22,433;;;Good Deal;4.9;2419;4.8;128 reviews;30;28;AWD;2.0L H4 16V GDI DOHC;Magnetite Gray Metallic;Gasoline;38;Black;9,722;609375L;Automatic CVT;4S3GKAU60J3609375
176-749888412;$36,439;$42,325;;;4.8;1357;4.8;65 reviews;3;19;4WD;3.6L V6 24V MPFI DOHC;Diamond Black;Gasoline;26;Black;19;1948015;8-Speed Automatic;1C4RJFAG7KC539834
158-765158203;$33,965;$42,575;$35465;;2.8;309;4.8;65 reviews;15;;;Regular Unleaded V-6 3.6 L/220;Diamond Black Crystal Pearlcoat;Gasoline;;Black;0;704063;Automatic;1C4RJFAG8KC704063
444-756070331;$46,995;;$48017;Good Deal;4;39;3.8;18 reviews;31;15;4WD;6.2L V8 16V GDI OHV;Black Raven;Gasoline;21;Jet Black;50,350;18404SA;8-Speed Automatic;1GYS4CKJ3GR419271
36-732167189;$27,371;$28,000;;;5;427;4.9;116 reviews;3;20;FWD;1.5L I4 16V GDI DOHC Turbo;White;Gasoline;29;Ebony;2;A4953;6-Speed Automatic;3FA6P0HD5JR228368
28-754791242;$31,842;$35,585;;;3;10;4.9;37 reviews;32;21;4X4;2.0L I4 16V GDI DOHC Turbo Flexible Fuel;Ruby Red Metallic Tinted Clearcoat;E85 Flex Fuel;27;Charcoal Black Leather;5;T9041;6-Speed Automatic;1FMCU9J98KUA09328
2-761407433;$50,390;$50,390;;;3.7;3;4.5;2 reviews;19;;AWD;2.0L I4 16V GDI DOHC Turbo;Navarra Blue Metallic;Gasoline;;Rock Gray;23;A0262;7-Speed Automatic with Auto-Shift;WAUENAF46KA025759
473-763477186;$42,580;;;Fair Price;4.4;1887;4.8;211 reviews;31;17;4WD;3.0L V6 24V DDI DOHC Turbo Diesel;Maximum Steel Metallic;Diesel;25;Black;2,769;P27941;8-Speed Automatic;1C6RR7NM6JS255671
398-764849033;$37,125;$37,125;;;4.8;75;;;8;;4WD;2.0 L;Rally Red Metallic;Hybrid;;06J;4;90665;Automatic;JA4J24A53KZ034894
91-749569469;$32,622;$38,305;;;4.9;2633;4.7;168 reviews;8;19;FWD;3.6L V6 24V MPFI DOHC Flexible Fuel;Brilliant Black Crystal Pearlcoat;E85 Flex Fuel;28;Black;5;RU18318;9-Speed Automatic;2C4RC1BG1JR353868
202-764315197;$32,169;$37,815;;;3.9;329;5;1 reviews;3;20;FWD;3.5L V6 24V GDI DOHC;White;Gasoline;30;Charcoal;10;KC370399;Automatic CVT;1N4AA6AV0KC370399
471-753438393;$16,599;;;Great Deal;4.9;14664;4.5;70 reviews;32;20;AWD;2.4L I4 16V GDI DOHC;Quicksilver Metallic;Gasoline;29;Jet Black;28,785;M215648;6-Speed Automatic;2GKFLUEK3G6213159
104-750308223;$23,000;$26,500;;;4.9;395;4.9;50 reviews;18;24;Front Wheel Drive;2.4L;Snow White Pearl;Gasoline;33;Black;12;KG292547;Automatic;5XXGT4L36KG292547
244-766276790;$22,965;$22,965;;;2.7;77;4.5;40 reviews;3;28;AWD;1.8L I4 16V MPFI SOHC;Modern Steel Metallic;Gasoline;34;Black;10;391005;Automatic CVT;3CZRU6H38KG717784
435-761699718;$44,909;$45,810;;;4.9;133;4.3;30 reviews;21;;4WD;5.3L;Shadow Gray Metallic;Gasoline;;Jet Black;4;KZ238068;Automatic;1GCRYCEF9KZ238068
432-762690402;$36,795;;;Good Deal;4.8;723;4.9;18 reviews;32;20;AWD;3.5L V6 24V MPFI DOHC;Hermosa Blue;Gasoline;27;Graphite;10,608;IU5025;Automatic CVT;5N1DL0MM9JC503608
134-751067051;$28,620;$28,620;;;4.8;58;4.9;25 reviews;5;25;AWD;2.5L H4 16V MPFI DOHC;Crystal Black Silica;Gasoline;34;Gray;5;282;Automatic CVT;4S3BNAR6XK3002170
279-764067834;$35,449;$41,220;;;4.6;28;4.6;35 reviews;9;20;4WD;3.6L V6 24V GDI DOHC;Red Tinted Clearcoat;Gasoline;26;Black;3;T3354;8-Speed Automatic;1GCGTDEN9K1232837
59-742628158;$27,695;$27,695;;;4.8;1018;4.9;459 reviews;9;32;FWD;Intercooled Turbo Regular Unleaded I-4 1.5 L/91;Crystal Black Pearl;Gasoline;42;Black;0;582117;CVT w/OD;JHMFC1F99JX025418
88-758574653;$35,410;;;;4.9;434;5;1 reviews;11;20;FWD;3.5 L;Super Black;Gasoline;30;Charcoal;5;72301;Variable;1N4AA6AV0KC361718
94-759211830;$30,820;$30,820;;;4.6;92;4.9;50 reviews;19;27;FWD;Intercooled Turbo Regular Unleaded I-4 1.6 L/97;Platinum Graphite;Gasoline;37;Black;33;J10743;7-Speed Auto-Shift Manual w/OD;5XXGU4L18KG319744
422-742351305;$39,665;$42,138;;;4.8;904;4.9;334 reviews;32;21;AWD;3.5L V6 24V PDI DOHC;Celestial Silver Metallic;Gasoline;27;Black;1;TC180985;8-Speed Automatic;5TDJZRFH8JS554428
125-733146007;$50,985;;;;4.8;746;4.9;54 reviews;19;22;AWD;2.0L I4 16V GDI DOHC Turbo;Mineral White Metallic;Gasoline;29;Black;10;BF81295;8-Speed Automatic;5UXTR9C59JLD67284
134-766098970;$21,070;$25,115;;;4.9;581;4.8;19 reviews;10;23;FWD;Intercooled Turbo Regular Unleaded I-4 1.5 L/91;Agate Black;Gasoline;34;Ebony;11;19N37;Automatic;3FA6P0HD7KR192314
226-760825687;$37,437;$37,437;;;4.8;1229;4.7;118 reviews;5;25;AWD;2.5 L;Ice Silver Metallic;Gasoline;32;Slate Black;5;S31767;Variable;4S4BSANC2K3279492
322-760891842;$29,595;;;Good Deal;4.8;723;4.8;5 reviews;32;17;AWD;3.7L V6 24V MPFI DOHC;Black Obsidian;Gasoline;24;Graphite;26,762;IU5014;7-Speed Automatic;JN8CS1MW7FM483780
214-763402455;$32,975;;;;4.1;428;4.7;118 reviews;9;25;AWD;Regular Unleaded H-4 2.5 L/152;Crystal White Pearl;Gasoline;32;Slate Black;62;191196;6-Speed CVT w/OD;4S4BSAHC3K3298516
471-753439401;$18,199;;;Great Deal;4.9;14664;4.6;37 reviews;32;16;RWD;3.8L V6 24V GDI DOHC;Pamplona Red;Gasoline;25;Gray;42,129;C224840;8-Speed Automatic;KMHGN4JE8GU121925
381-760295930;$77,605;;;;4.9;740;5;6 reviews;6;24;AWD;6 Cylinder;Polar Wht;Gasoline;31;Black;0;19202;9-Speed Shiftable Automatic;WDD2J5KB1KA010914
248-765529302;$21,690;$21,690;;;3.5;108;5;33 reviews;4;29;FWD;1.8L 4-Cylinder;Brilliant Silver Metallic;Gasoline;37;Charcoal;5;NS483;CVT;3N1AB7AP5KY271022
104-762823105;$26,430;$26,430;;;4.6;124;4.9;70 reviews;10;21;AWD;Regular Unleaded I-4 2.4 L/144;Clear White;Gasoline;25;Gray;4;B5204;6-Speed Automatic w/OD;KNDPMCAC0K7609838
178-752856853;$24,389;$27,530;;;2.8;309;4.8;5 reviews;12;29;FWD;Turbocharged Gas I4 1.5L/91;Pacific Blue Metallic;Gasoline;36;Jet Black;0;116281;1-Speed Automatic;1G1ZD5ST8KF116281
155-752786449;$39,464;$39,464;;;4.7;1138;4.4;87 reviews;9;20;AWD;3.5L V6 24V PDI DOHC;Celestial Silver Metallic;Gasoline;27;Ash;2;X9168;8-Speed Automatic;5TDBZRFH1KS932367
35-762337550;$30,140;$30,140;;;4.9;3601;4.4;10 reviews;28;48;FWD;2.0L I4 16V MPFI DOHC Hybrid;Modern Steel Metallic;Hybrid;48;Black;10;KH190692;Automatic CVT;1HGCV3F44KA005565
450-765909571;$92,650;$92,650;;;4.7;248;;;1;17;RWD;4.0L V8 32V GDI DOHC Twin Turbo;Dsgo Magno Selenite;Gasoline;26;Black;9;191418;9-Speed Automatic;WDDWJ8HB1KF863651
37-762159045;$30,185;$30,585;;;4.9;962;4.7;25 reviews;18;25;All-wheel Drive;I-4 cyl;Snowflake White Pearl Mica;Gasoline;31;Silk Beige;6;M90132;6-Speed Automatic;JM3KFBCMXK0538149
390-762631421;$35,995;;$36500;Good Deal;4;164;4.9;54 reviews;15;16;4WD;5.3L V8 16V GDI OHV;Black;Gasoline;23;Jet Black;44,468;D08286;6-Speed Automatic;1GNSKBKCXGR405706
161-753033434;$41,230;$42,730;;;4.5;417;4.8;65 reviews;3;;4WD;Regular Unleaded V-6 3.6 L/220;Diamond Black Crystal Pearlcoat;Gasoline;;Black;0;569486;8-Speed Automatic w/OD;1C4RJFAG6KC569486
468-764556361;$22,116;$26,275;;;4.8;600;;;8;;AWD;Intercooled Turbo Regular Unleaded I-4 1.8 L/110;Platinum Gray Metallic;Gasoline;;Titan Black;0;KM502100;6-Speed Manual w/OD;3VW217AU7KM502100
236-763855336;$74,875;$74,875;;;4.8;870;5;5 reviews;3;17;4WD;3.5L V6 24V GDI DOHC Twin Turbo;Magnetic;Gasoline;24;Ebony;Not provided;190767;10-Speed Automatic;1FMJU2ATXKEA24000
121-763170174;$31,935;$31,935;;;4.8;2633;4.9;37 reviews;32;23;4WD;Intercooled Turbo Regular Unleaded I-4 1.5 L/92;Agate Black Metallic;Gasoline;30;Eb;0;A73433;6-Speed Automatic w/OD;1FMCU9HD3KUA73433
370-761168167;$195,320;$195,320;;;4.8;1079;;;1;15;AWD;4.0L V8 32V GDI DOHC Twin Turbo;Diamond White Metallic;Gasoline;24;Brown;1;191213;9-Speed Automatic;WDDXK8JB1KA038556
63-762614023;$42,840;$42,840;;;4.1;402;4.8;65 reviews;20;19;4WD;Regular Unleaded V-6 3.6 L/220;Diamond Black Crystal Pearlcoat;Gasoline;26;Black;11;90929;8-Speed Automatic w/OD;1C4RJFBG9KC679236
157-746399181;$32,915;$41,130;;;4.8;1357;5;19 reviews;1;;4WD;3.6L V6 24V MPFI DOHC Flexible Fuel;Bright White;E85 Flex Fuel;;Diesel Gray / Black;16;1943054;8-Speed Automatic;1C6RR7FG0KS502841
61-763170681;$27,875;$27,875;;;4.8;2633;4.5;116 reviews;32;23;4WD;Regular Unleaded I-4 2.0 L/122;Shadow Black;Gasoline;29;Ebony;2;245231;6-Speed Automatic w/OD;MAJ6P1CL4JC245231
202-763579548;$47,128;$49,015;;;4.1;1122;4.8;25 reviews;3;;4WD;Intercooled Turbo Premium Unleaded I-4 2.3 L/140;Blue Metallic;Gasoline;;Ebony;3;15160;6-Speed Automatic w/OD;1FM5K8FH5KGA94474
366-759180656;$76,635;$76,635;;;4.9;720;;;32;21;AWD;3.0L I6 24V GDI DOHC Turbo;Iridium;Gasoline;28;Black;Not provided;64631;9-Speed Automatic;WDDZF6BB9KA574090
280-760820000;$25,995;;;Good Deal;4.8;1346;4.6;21 reviews;30;17;;;Majestic White;Gasoline;24;Wheat;27,212;3127;Automatic;JN1BJ0RRXGM269863
442-763203686;$44,380;$44,380;;;4.7;1044;4.8;36 reviews;1;24;AWD;2.0L I4 16V PDI DOHC Turbo;Black Obsidian;Gasoline;30;Graphite;5;44128;Automatic CVT;3PCAJ5M32KF132250
271-766925076;$52,830;$52,830;;;4.8;319;4.6;22 reviews;4;20;AWD;Premium Unleaded V-6 3.5 L/213;Majestic White;Gasoline;27;Graphite;15;M190815;1-Speed CVT w/OD;5N1DL0MM7KC559077
353-765204119;$53,985;$53,985;;;4.4;1887;4.8;181 reviews;14;20;4WD;5.7L V8 16V MPFI OHV;Diamond Black;Gasoline;25;Black;13;76043;8-Speed Automatic;1C6SRFJT0KN734600
353-750337284;$209,500;;;Good Deal;-1;-1;;;22;16;RWD;3.8L V8 32V MPFI DOHC Twin Turbo;Storm Gray;Gasoline;23;Jet Black;39;88013;7-Speed Automatic with Auto-Shift;SBM13GAA0JW005619
274-765993127;$36,995;;;Fair Price;2;9;4.8;20 reviews;17;19;AWD;3.0L V6 24V GDI DOHC Twin Turbo;Iridium Blue;Gasoline;27;Light Gray;15,411;8882;7-Speed Automatic;JN1EV7EL8JM391382
203-740872864;$34,825;$37,825;;;4.1;402;4.1;7 reviews;6;;FWD;Regular Unleaded V-6 3.6 L/220;Bright White Clearcoat;Gasoline;;Black;17;81541;6-Speed Automatic w/OD;3C6TRVBG2JE146751
88-760545349;$31,758;$36,205;;;4.7;667;4.9;37 reviews;21;21;4WD;2.0L I4 16V GDI DOHC Turbo Flexible Fuel;White Platinum Clearcoat Metallic;E85 Flex Fuel;27;Charcoal Black;8;F26865;6-Speed Automatic;1FMCU9J97KUA67110
9-722073120;$19,646;$23,715;;;4.6;28;4.9;227 reviews;9;27;FWD;1.4L I4 16V GDI DOHC Turbo;Pepperdust Metallic;Gasoline;40;Black;3;C5067;6-Speed Automatic;1G1BE5SM7J7157131
53-760803415;$17,112;$19,920;;;4.6;575;5;33 reviews;10;27;FWD;1.8L 4-Cylinder;Gun Metallic;Gasoline;35;Charcoal;0;190638;CVT;3N1AB7AP8KY276733
393-756704239;$28,764;$28,764;;;4.9;191;4.9;10 reviews;1;;FWD;Intercooled Turbo Regular Unleaded I-4 2.0 L/121;Safari Uni/Black Roof;Gasoline;;Cornsilk Beige/Titan Blk;0;V330396;6-Speed Automatic w/OD;3VW5DAAT3KM500305
49-757311085;$31,011;$33,170;;;5;36;4.6;42 reviews;14;26;AWD;2.5L I4 16V GDI DOHC;Gun Metallic;Gasoline;36;Charcoal;6;KN305364;Automatic CVT;1N4BL4EW5KN305364
142-748791902;$48,009;$52,050;;;5;23;4.5;42 reviews;4;18;AWD;3.6L V6 24V GDI DOHC;Quartz Metallic;Gasoline;25;Jet Black;5;190140;6-Speed Automatic;1GKKNXLS3KZ135959
233-761644224;$30,140;$30,140;;;4.3;452;4.9;316 reviews;3;22;4WD;2.4L I4 16V MPFI SOHC;Diamond Black;Gasoline;31;Black;9;CHK1513;9-Speed Automatic;1C4PJMLB4KD380021
78-759285885;$20,390;;;;4.9;434;5;33 reviews;10;29;FWD;1.8 L;Brilliant Silver Metallic;Gasoline;37;Charcoal;6;72367;Variable;3N1AB7AP7KY289750
267-767168418;$32,227;$32,727;;;4.8;697;4.5;62 reviews;2;26;AWD;2.5L I4 16V PDI DOHC;Lunar;Gasoline;35;Black;1;T7980;8-Speed Automatic;JTMA1RFV9KD503160
93-754892071;$25,060;$25,060;;;4.9;220;4.6;42 reviews;5;26;FWD;2.5 L;Super Black;Gasoline;36;Charcoal;0;N190089;Variable;1N4BL4BV1KC133986
441-766255175;$31,464;$31,464;;;4.2;515;4.9;10 reviews;26;26;FWD;2.0L I4 16V GDI DOHC Turbo;Pure White With Brown Roof;Gasoline;33;Titan Black;7;1295N;6-Speed Automatic;3VW5DAAT5KM505845
252-753818039;$47,730;$51,295;;;4.8;1666;4.3;30 reviews;17;18;4WD;Gas V8 5.3L/;Northsky Blue Metallic;Gasoline;21;Jet Black;0;197376;8-Speed Automatic;1GCUYDED3KZ162099
266-767168186;$35,112;$35,612;;;4.8;697;4.5;62 reviews;4;26;AWD;2.5L I4 16V PDI DOHC;Blueprint;Gasoline;35;Black;1;T1248;8-Speed Automatic;2T3A1RFV9KW026085
19-757148763;$55,865;$55,865;;;3;5;4.8;181 reviews;3;19;4WD;5.7L V8 16V MPFI OHV;Granite Crystal;Gasoline;24;Red / Black;0;19199;8-Speed Automatic;1C6SRFLT3KN716234
215-729850089;$27,780;$27,780;;;4.1;402;4.8;141 reviews;5;17;FWD;Regular Unleaded V-6 3.6 L/220;Billet Clearcoat;Gasoline;25;Black/Light Graystone;9,758;L72310;6-Speed Multi-Speed Automatic w/OD;2C4RDGBG5HR841165
144-760478237;$24,645;$24,645;;;4.7;1870;4.9;55 reviews;3;31;FWD;1.5L I4 DOHC 16V;White Orchid;Gasoline;40;;0;19HC389;CVT;SHHFK7H62KU405804
386-766207842;$59,215;$59,215;;;3.9;55;4.5;23 reviews;;17;4WD;Gas V8 5.3L;Onyx Black;Gasoline;23;Jet Black;0;G93864;8-Speed Automatic;3GTU9DED7KG103683
96-763450156;$36,875;$36,875;;;4.6;218;4.5;42 reviews;15;21;AWD;2.5L I4 16V GDI DOHC;Blue;Gasoline;25;Jet Black;0;G19190;6-Speed Automatic;1GKKNRLA5KZ211832
309-766461939;$35,999;;;Good Deal;4.7;83;4.9;53 reviews;35;20;AWD;2.5L V6 24V;Machine Gray Metallic;Gasoline;26;Auburn;14,172;11500P;6-Speed Automatic;JM3TCBEY4J0220930
191-752152541;$44,880;;;;4;202;4.8;4 reviews;4;20;AWD;3.0L V6 24V GDI DOHC Twin Turbo;Graphite Shadow;Gasoline;29;Graphite;4;B190564;7-Speed Automatic;JN1EV7ARXKM550186
298-762991408;$13,992;;;Fair Price;3.4;10;4.3;91 reviews;29;23;FWD;2.4L 4 cyls;Granite Crystal Metallic Clearcoat;Gasoline;33;Black;75,008;20564U;Automatic 6-Speed;1C3CDFEBXFD439923
382-763806582;$30,995;;;Good Deal;4.7;119;4.7;266 reviews;22;;4WD;Regular Unleaded V-8 5.0 L/302;White;Gasoline;;;46,725;348;6-Speed Automatic w/OD;1FTEW1EF7GFD22245
51-762832990;$34,195;$35,195;;;4.5;2077;4.4;69 reviews;29;27;AWD;1.5L I4 16V GDI DOHC Turbo;;Gasoline;33;Ivory;8;196024;Automatic CVT;2HKRW2H94KH612020
201-765861847;$20,645;$21,145;;;4.9;3872;4.9;55 reviews;4;25;FWD;2.0L I4 16V MPFI DOHC;Aegean Blue;Gasoline;36;Black;Not provided;190556;Automatic CVT;2HGFC2F68KH511884
54-764471471;$37,275;$37,275;;;4.3;1420;4.7;82 reviews;15;18;AWD;3.5L V6 24V GDI SOHC;White Diamond Pearl;Gasoline;26;Beige;25;20191680;6-Speed Automatic;5FNYF6H31KB062000
325-758307745;$59,711;$61,711;;;4.2;28;3;2 reviews;14;;4WD;Intercooled Turbo Premium Unleaded I-4 2.0 L/122;Corris Grey Metallic;Gasoline;;Ebony w/Light Oyster;5,324;KA781420;8-Speed Automatic w/OD;SALYB2EX6KA781420
431-765118073;$24,595;;;Good Deal;4.6;150;4.6;103 reviews;26;18;AWD;3.5L V6 DOHC Dual VVT-i 24V;Starfire Pearl;Gasoline;25;Saddle Tan;28,794;6131P;6-Speed Automatic with Sequential Shift ECT-i;2T2BK1BA1DC194043
235-751354816;$64,065;$64,065;;;4.8;916;4.9;10 reviews;3;15;4WD;EcoTec3 5.3L V8;Black;E85 Flex Fuel;22;Black;0;J0399;6-Speed Automatic;1GNSKHKCXKR134707
0-749337514;$37,743;$40,245;;;4.8;1666;4.6;35 reviews;19;20;Four Wheel Drive;Gas V6;Summit White;Gasoline;26;Jet Black;0;197099K9;8-Speed Automatic;1GCGTDEN6K1116768
76-762700316;$95,075;$95,075;;;4.3;716;5;1 reviews;25;14;4WD;6.2L V8 16V GDI OHV;Black Raven;Gasoline;21;Black;8;N266040;10-Speed Automatic;1GYS4JKJ0KR266040
277-766207841;$34,255;$34,255;;;3.9;55;4.7;42 reviews;16;26;AWD;Turbo Gas/Ethanol I4 1.5L/92;Quicksilver Metallic;E85 Flex Fuel;30;Jet Black;0;G93860;9-Speed Automatic;3GKALTEV0KL303355
158-759695851;$29,495;$29,495;;;4.9;573;4.6;42 reviews;17;26;Front Wheel Drive;2.5L 4-Cyl Engine;Gun-Metallic;Gasoline;36;Charcoal;7;19A152;Automatic;1N4BL4DV6KC162932
160-760019066;$51,195;$51,695;;;4.9;869;5;2 reviews;12;;quattro;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Matador Red Metallic;Gasoline;;Nougat Brown;38;PA219218;7-Speed Auto-Shift Manual w/OD;WAUTNAF57KA007612
6-744755933;$60,465;$62,215;;;4.9;2487;1.5;2 reviews;20;21;AWD;Intercooled Turbo Premium Unleaded I-6 3.0 L/183;Black Sapphire Metallic;Gasoline;31;Cognac/Dark Brown;16;WM19036;8-Speed Automatic w/OD;WBA4J7C50KBM75568
81-757335996;$58,165;;;;4.5;2237;4.7;3 reviews;9;;AWD;2.0L I4 16V GDI DOHC Turbo Hybrid;Iridium Silver Metallic;Hybrid;;Black;4;KF507796;7-Speed Automatic;WDC0G5EB7KF507796
229-758927173;$43,315;;;;1.7;7;4.3;14 reviews;5;19;AWD;3.6L V6 24V MPFI DOHC;Gray Clearcoat;Gasoline;26;Black;10;DT1172;8-Speed Automatic;1C4RDJDG3KC606368
214-752180540;$34,230;$34,230;;;4.9;220;4.6;42 reviews;5;27;FWD;2.5 L;Scarlet Ember Tintcoat;Gasoline;37;Light Gray;0;N190039;Variable;1N4BL4FV8KC112871
157-749085142;$38,631;;;;4.5;589;4.7;118 reviews;8;25;AWD;2.5L H4 16V MPFI DOHC;Crystal Black Silica;Gasoline;32;Java Brown;Not provided;19133;Automatic CVT;4S4BSATC0K3222355
27-762891849;$32,469;$36,535;$34535;;3.4;10;4.6;22 reviews;21;26;AWD;2.5L 4 cyls;Scarlet Ember Tintcoat;Gasoline;33;Charcoal;2;19068;CVT (Continuously Variable);5N1AT2MV3KC724078
351-765898405;$48,805;;;;4.9;740;;;;;4X2;6 Cylinder;;Diesel;;;0;S1973;7-Speed;WD4PF0CDXKP065028
413-763387684;$32,444;;$33059;Good Deal;4.7;1044;4.7;55 reviews;32;20;AWD;3.0L V6 24V GDI DOHC Twin Turbo;Black Obsidian;Gasoline;29;Graphite;13,014;3393U;7-Speed Automatic;JN1EV7AR5JM434988
184-760306363;$39,626;$42,673;;;4.7;605;4.4;87 reviews;6;20;AWD;6 Cylinder;Alumina Jade Metallic;Gasoline;26;Ash;0;KS953313;Automatic;5TDJZRFH1KS953313
281-766239408;$38,660;$38,660;;;4.7;604;5;1 reviews;17;24;4MATIC;2.0L I4 Turbocharged;149;Gasoline;35;105;29;19743N;7-Speed Automatic;WDD3G4FB3KW006759
199-763268477;$42,220;$42,220;;;3.3;65;4.3;14 reviews;7;19;AWD;3.6L V6 24V MPFI DOHC;White Knuckle Clearcoat;Gasoline;26;Black;13;CK295;8-Speed Automatic;1C4RDJDG2KC674192
147-758349649;$45,235;$45,235;;;4.7;680;4.5;42 reviews;10;21;AWD;Gas V6 3.6L/223;Dark Sky Metallic;Gasoline;26;Cocoa/ Light Ash Gray;3;19245;6-Speed Automatic;1GKKNULS7KZ192101
148-762962721;$32,880;$32,880;;;4.7;558;4.6;22 reviews;19;26;AWD;2.5 L;Gun Metallic;Gasoline;33;Charcoal;5;N384113;Variable;JN8AT2MVXKW384113
367-758216203;$49,900;$49,900;;;4.9;1007;5;14 reviews;32;22;AWD;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Black;Gasoline;31;Saddle Brown/Black;707;N190035;9-Speed Automatic w/OD;WDDWJ8EB0KF784024
287-765901313;$23,690;;;Fair Price;5;6;4.7;81 reviews;26;19;AWD;3.7L V6 24V MPFI DOHC;Graphite Shadow;Gasoline;27;Black;36,980;06808;7-Speed Automatic;JN1BV7AR3FM412448
383-737090983;$32,995;;;Good Deal;4.8;723;4.4;32 reviews;32;22;AWD;2.0L I4 16V GDI DOHC Turbo;Majestic;Gasoline;30;Graphite;17,136;IU4893;7-Speed Automatic;JN1CV7EL2HM320440
90-762913647;$38,857;$41,270;;;4.8;1063;4.5;71 reviews;15;17;AWD;3.6L V6 24V GDI DOHC;Summit White;Gasoline;25;Dark Atmosphere;144;38392S;9-Speed Automatic;1GNEVGKW5KJ198158
377-765563383;$40,470;$40,470;;;4.7;481;5;1 reviews;26;24;AWD;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Polar White;Gasoline;35;Black;24;KW002190;7-Speed Auto-Shift Manual w/OD;WDD3G4FB8KW002190
142-765434358;$50,090;$54,670;$52700;;4.2;38;4.8;25 reviews;7;16;4WD;Twin Turbo Premium Unleaded V-6 3.5 L/213;Magnetic Metallic;Gasoline;22;Ebony Black w/Red Accent;6;AF6193;6-Speed Automatic w/OD;1FM5K8GT6KGB51008
105-755925395;$26,586;$27,650;;;4.9;373;4.2;5 reviews;19;;FWD;2.0L I4 16V GDI DOHC;Frozen White;Gasoline;;Ebony;8;F92317;8-Speed Automatic;NM0LS7E21K1404574
